kimberling;trilins;name
X134;secA*sin2A*(sin2B*sin2B-sin2C*sin2C)*Math.pow(-sin2A*sin2A+sin2B*sin2B+sin2C*sin2C,2)*((sin2A*sin2A-sin2B*sin2B)*sin2C*Math.pow(sin2A*sin2A+sin2B*sin2B-sin2C*sin2C,2)-sin2B*(sin2A*sin2A-sin2C*sin2C)*Math.pow(sin2A*sin2A-sin2B*sin2B+sin2C*sin2C,2))|secB*sin2B*(-sin2A*sin2A+sin2C*sin2C)*Math.pow(sin2A*sin2A-sin2B*sin2B+sin2C*sin2C,2)*(-((-sin2A*sin2A+sin2B*sin2B)*sin2C*Math.pow(sin2A*sin2A+sin2B*sin2B-sin2C*sin2C,2))+sin2A*(sin2B*sin2B-sin2C*sin2C)*Math.pow(-sin2A*sin2A+sin2B*sin2B+sin2C*sin2C,2))|secC*(sin2A*sin2A-sin2B*sin2B)*sin2C*Math.pow(sin2A*sin2A+sin2B*sin2B-sin2C*sin2C,2)*(sin2B*(-sin2A*sin2A+sin2C*sin2C)*Math.pow(sin2A*sin2A-sin2B*sin2B+sin2C*sin2C,2)-sin2A*(-sin2B*sin2B+sin2C*sin2C)*Math.pow(-sin2A*sin2A+sin2B*sin2B+sin2C*sin2C,2));X107-OF-ORTHIC-TRIANGLE
X135;secA*(sin2B/(-sec2A+sec2C)+sin2C/(sec2A-sec2B))|secB*(sin2A/(sec2B-sec2C)+sin2C/(sec2A-sec2B))|secC*(sin2A/(sec2B-sec2C)+sin2B/(-sec2A+sec2C));INTERSECTION OF LINE X4X131 AND X25X114
X136;((b2-c2)*(b2-c2)*(a4-2*a2*b2+b4-2*a2*c2+c4))/(a*(a2-b2-c2))|((-a2+c2)*(-a2+c2)*(a4-2*a2*b2+b4-2*b2*c2+c4))/(b*(-a2+b2-c2))|((a2-b2)*(a2-b2)*(a4+b4-2*a2*c2-2*b2*c2+c4))/(c*(-a2-b2+c2));INTERSECTION OF LINE X4X110 AND X25X132
X137;secA*(sin2B-sin2C)*(sin2B-sin2C)*(sin2B+sin2C)*(sin2A*sin2A-sin2B*sin2B-sin2B*sin2C-sin2C*sin2C)|secB*(-sin2A+sin2C)*(-sin2A+sin2C)*(sin2A+sin2C)*(-sin2A*sin2A+sin2B*sin2B-sin2A*sin2C-sin2C*sin2C)|secC*(sin2A-sin2B)*(sin2A-sin2B)*(sin2A+sin2B)*(-sin2A*sin2A-sin2A*sin2B-sin2B*sin2B+sin2C*sin2C);X110-OF-ORTHIC-TRIANGLE
X138;secA*(sin2B/(-sin2A*sin2A+2*sin2B*sin2B-sin2C*sin2C)+sin2C/(-sin2A*sin2A-sin2B*sin2B+2*sin2C*sin2C))|secB*(sin2A/(2*sin2A*sin2A-sin2B*sin2B-sin2C*sin2C)+sin2C/(-sin2A*sin2A-sin2B*sin2B+2*sin2C*sin2C))|secC*(sin2A/(2*sin2A*sin2A-sin2B*sin2B-sin2C*sin2C)+sin2B/(-sin2A*sin2A+2*sin2B*sin2B-sin2C*sin2C));X111-OF-ORTHIC-TRIANGLE
X139;secA*(sin2B-sin2C)*(sin2B-sin2C)*(sin2B+sin2C)*(-sin2A*sin2A+sin2B*sin2B+sin2C*sin2C)*(-Math.pow(sin2A,4)+Math.pow(sin2B,4)+Math.pow(sin2C,4)+sin2B*sin2C*(-sin2A*sin2A+sin2B*sin2B+sin2C*sin2C))|secB*(-sin2A+sin2C)*(-sin2A+sin2C)*(sin2A+sin2C)*(sin2A*sin2A-sin2B*sin2B+sin2C*sin2C)*(Math.pow(sin2A,4)-Math.pow(sin2B,4)+Math.pow(sin2C,4)+sin2A*sin2C*(sin2A*sin2A-sin2B*sin2B+sin2C*sin2C))|secC*(sin2A-sin2B)*(sin2A-sin2B)*(sin2A+sin2B)*(sin2A*sin2A+sin2B*sin2B-sin2C*sin2C)*(Math.pow(sin2A,4)+Math.pow(sin2B,4)-Math.pow(sin2C,4)+sin2A*sin2B*(sin2A*sin2A+sin2B*sin2B-sin2C*sin2C));X112-OF-ORTHIC-TRIANGLE
X140;2*a3+(b2-c2)*(b2-c2)/a-3*a*(b2+c2)|2*b3+(-a2+c2)*(-a2+c2)/b-3*b*(a2+c2)|(a2-b2)*(a2-b2)/c-3*(a2+b2)*c+2*c3;MIDPOINT OF X3 AND X5
X141;b*c*(b2+c2)|a*c*(a2+c2)|a*b*(a2+b2);COMPLEMENT OF SYMMEDIAN POINT
X142;b-(b-c)*(b-c)/a+c|a+c-(-a+c)*(-a+c)/b|a+b-(a-b)*(a-b)/c;COMPLEMENT OF X9
X143;a*(a2*b2-b4+a2*c2+2*b2*c2-c4)*(a4-2*a2*b2+b4-2*a2*c2-b2*c2+c4)|b*(-a4+a2*b2+2*a2*c2+b2*c2-c4)*(a4-2*a2*b2+b4-a2*c2-2*b2*c2+c4)|c*(-a4+2*a2*b2-b4+a2*c2+b2*c2)*(a4-a2*b2+b4-2*a2*c2-2*b2*c2+c4);NINE-POINT CENTER OF ORTHIC TRIANGLE
X144;3*a-(b-c)*(b-c)/a-2*(b+c)|3*b-(-a+c)*(-a+c)/b-2*(a+c)|-2*(a+b)-(a-b)*(a-b)/c+3*c;ANTICOMPLEMENT OF X7
X145;b*(3*a-b-c)*c|a*(-a+3*b-c)*c|a*b*(-a-b+3*c);ANTICOMPLEMENT OF NAGEL POINT
X146;Math.pow(a,9)+Math.pow(a,7)*(b2+c2)-(Math.pow(b2-c2,4)*(b2+c2))/a-a*(b2-c2)*(b2-c2)*(b4+9*b2*c2+c4)+2*a3*(b2+c2)*(4*b4-7*b2*c2+4*c4)-Math.pow(a,5)*(8*b4-9*b2*c2+8*c4)|Math.pow(b,9)+Math.pow(b,7)*(a2+c2)-(Math.pow(-a2+c2,4)*(a2+c2))/b-b*(-a2+c2)*(-a2+c2)*(a4+9*a2*c2+c4)+2*b3*(a2+c2)*(4*a4-7*a2*c2+4*c4)-Math.pow(b,5)*(8*a4-9*a2*c2+8*c4)|-((Math.pow(a2-b2,4)*(a2+b2))/c)-(a2-b2)*(a2-b2)*(a4+9*a2*b2+b4)*c-(8*a4-9*a2*b2+8*b4)*Math.pow(c,5)+(a2+b2)*Math.pow(c,7)+Math.pow(c,9)+2*(a2+b2)*(4*a4-7*a2*b2+4*b4)*c3;REFLECTION OF X20 IN X110
X147;b*c*(a8-b8+b6*c2+a6*(b2+c2)-a4*(2*b4+3*b2*c2+2*c4)+b2*c6+a2*(b6+b4*c2+b2*c4+c6)-c8)|a*c*(-a8+b8+a6*c2+b6*(a2+c2)-b4*(2*a4+3*a2*c2+2*c4)+a2*c6+b2*(a6+a4*c2+a2*c4+c6)-c8)|a*b*(-a8+a6*b2+a2*b6-b8+(a6+a4*b2+a2*b4+b6)*c2-(2*a4+3*a2*b2+2*b4)*c4+(a2+b2)*c6+c8);TARRY POINT OF ANTICOMPLEMENTARY TRIANGLE
X148;b*c*(a4-a2*b2-(b2-c2)*(b2-c2)-a2*c2+b2*c2)|a*c*(-(a2*b2)+b4+a2*c2-b2*c2-(-a2+c2)*(-a2+c2))|a*b*(-(a2-b2)*(a2-b2)+a2*b2-a2*c2-b2*c2+c4);STEINER POINT OF ANTICOMPLEMENTARY TRIANGLE
X149;b*c*(-a3+b3+(b+c)*(a2-b*c)+a*(-b2+b*c-c2)+c3)|a*c*(a3-b3+(a+c)*(b2-a*c)+b*(-a2+a*c-c2)+c3)|a*b*(a3+b3+(-a2+a*b-b2)*c+(a+b)*(-(a*b)+c2)-c3);REFLECTION OF X20 IN X104
X150;b*c*(-a4+b4+a3*(b+c)-b*c*(a2+b2+c2)+a*(-b3+b2*c+b*c2-c3)+c4)|a*c*(a4-b4+b3*(a+c)-a*c*(a2+b2+c2)+b*(-a3+a2*c+a*c2-c3)+c4)|a*b*(a4+b4+(-a3+a2*b+a*b2-b3)*c-a*b*(a2+b2+c2)+(a+b)*c3-c4);REFLECTION OF X20 IN X103
X151;((a+b+c)*(a+b+c)*(Math.pow(a,10)-Math.pow(a,9)*(b+c)+12*Math.pow(a,5)*b*(b-c)*(b-c)*c*(b+c)+a*Math.pow(b-c,6)*Math.pow(b+c,3)+2*Math.pow(a,7)*(b+c)*(b2-4*b*c+c2)-Math.pow(b2-c2,4)*(b2-b*c+c2)+Math.pow(a,8)*(b2+3*b*c+c2)-2*a3*Math.pow(b-c,4)*(b+c)*(b2+4*b*c+c2)+4*a4*(b2-c2)*(b2-c2)*(2*b2-3*b*c+2*c2)+2*a6*(-4*b4+b3*c+8*b2*c2+b*c3-4*c4)-a2*(b2-c2)*(b2-c2)*(b4-6*b3*c+14*b2*c2-6*b*c3+c4)))/a|((a+b+c)*(a+b+c)*(Math.pow(b,10)-Math.pow(b,9)*(a+c)+12*a*Math.pow(b,5)*c*(-a+c)*(-a+c)*(a+c)+b*Math.pow(-a+c,6)*Math.pow(a+c,3)+2*Math.pow(b,7)*(a+c)*(a2-4*a*c+c2)-Math.pow(-a2+c2,4)*(a2-a*c+c2)+Math.pow(b,8)*(a2+3*a*c+c2)-2*b3*Math.pow(-a+c,4)*(a+c)*(a2+4*a*c+c2)+4*b4*(-a2+c2)*(-a2+c2)*(2*a2-3*a*c+2*c2)+2*b6*(-4*a4+a3*c+8*a2*c2+a*c3-4*c4)-b2*(-a2+c2)*(-a2+c2)*(a4-6*a3*c+14*a2*c2-6*a*c3+c4)))/b|((a+b+c)*(a+b+c)*(-(Math.pow(a2-b2,4)*(a2-a*b+b2))+Math.pow(a-b,6)*Math.pow(a+b,3)*c+12*a*(a-b)*(a-b)*b*(a+b)*Math.pow(c,5)+2*(a+b)*(a2-4*a*b+b2)*Math.pow(c,7)+(a2+3*a*b+b2)*Math.pow(c,8)-(a+b)*Math.pow(c,9)+Math.pow(c,10)-(a2-b2)*(a2-b2)*(a4-6*a3*b+14*a2*b2-6*a*b3+b4)*c2-2*Math.pow(a-b,4)*(a+b)*(a2+4*a*b+b2)*c3+4*(a2-b2)*(a2-b2)*(2*a2-3*a*b+2*b2)*c4+2*(-4*a4+a3*b+8*a2*b2+a*b3-4*b4)*c6))/c;REFLECTION OF X20 IN X109
X152;(a8-Math.pow(a,7)*(b+c)+a*Math.pow(b-c,4)*Math.pow(b+c,3)-a4*b*c*(b2-6*b*c+c2)-Math.pow(b-c,4)*(b+c)*(b+c)*(b2+b*c+c2)+Math.pow(a,6)*(2*b2+b*c+2*c2)-a5*(b+c)*(5*b2-6*b*c+5*c2)+a3*(b-c)*(b-c)*(b+c)*(5*b2+6*b*c+5*c2)-a2*(b-c)*(b-c)*(2*b4+5*b3*c+10*b2*c2+5*b*c3+2*c4))/a|(b8-Math.pow(b,7)*(a+c)+b*Math.pow(-a+c,4)*Math.pow(a+c,3)-a*b4*c*(a2-6*a*c+c2)-Math.pow(-a+c,4)*(a+c)*(a+c)*(a2+a*c+c2)+Math.pow(b,6)*(2*a2+a*c+2*c2)-b5*(a+c)*(5*a2-6*a*c+5*c2)+b3*(-a+c)*(-a+c)*(a+c)*(5*a2+6*a*c+5*c2)-b2*(-a+c)*(-a+c)*(2*a4+5*a3*c+10*a2*c2+5*a*c3+2*c4))/b|(-(Math.pow(a-b,4)*(a+b)*(a+b)*(a2+a*b+b2))+Math.pow(a-b,4)*Math.pow(a+b,3)*c+(2*a2+a*b+2*b2)*Math.pow(c,6)-(a+b)*Math.pow(c,7)-(a-b)*(a-b)*(2*a4+5*a3*b+10*a2*b2+5*a*b3+2*b4)*c2+(a-b)*(a-b)*(a+b)*(5*a2+6*a*b+5*b2)*c3-a*b*(a2-6*a*b+b2)*c4-(a+b)*(5*a2-6*a*b+5*b2)*c5+c8)/c;REFLECTION OF X20 IN X101
X153;(Math.pow(a,7)-a6*(b+c)-Math.pow(b-c,4)*Math.pow(b+c,3)-a5*(b2-7*b*c+c2)+a4*(b+c)*(b2-6*b*c+c2)+a*(b2-c2)*(b2-c2)*(b2-5*b*c+c2)+a2*(b-c)*(b-c)*(b+c)*(b2+6*b*c+c2)-a3*(b4+2*b3*c-10*b2*c2+2*b*c3+c4))/a|(Math.pow(b,7)-b6*(a+c)-Math.pow(-a+c,4)*Math.pow(a+c,3)-b5*(a2-7*a*c+c2)+b4*(a+c)*(a2-6*a*c+c2)+b*(-a2+c2)*(-a2+c2)*(a2-5*a*c+c2)+b2*(-a+c)*(-a+c)*(a+c)*(a2+6*a*c+c2)-b3*(a4+2*a3*c-10*a2*c2+2*a*c3+c4))/b|(-(Math.pow(a-b,4)*Math.pow(a+b,3))+(a2-b2)*(a2-b2)*(a2-5*a*b+b2)*c+Math.pow(c,7)+(a-b)*(a-b)*(a+b)*(a2+6*a*b+b2)*c2-(a4+2*a3*b-10*a2*b2+2*a*b3+b4)*c3+(a+b)*(a2-6*a*b+b2)*c4-(a2-7*a*b+b2)*c5-(a+b)*c6)/c;REFLECTION OF X20 IN X100
X154;a*(-tanA+tanB+tanC)|b*(tanA-tanB+tanC)|c*(tanA+tanB-tanC);X3-CEVA CONJUGATE OF X6
X155;cosA*(-cosA*cosA+cosB*cosB+cosC*cosC)|cosB*(cosA*cosA-cosB*cosB+cosC*cosC)|cosC*(cosA*cosA+cosB*cosB-cosC*cosC);EIGENCENTER OF ORTHIC TRIANGLE
X156;a*(a2*Math.pow(a2-b2,3)+(-3*a6+2*a4*b2+b6)*c2+(3*a4-2*b4)*c4+(-a2+b2)*c6)|b*(b2*Math.pow(b2-c2,3)+a6*(-b2+c2)+a4*(3*b4-2*c4)+a2*(-3*b6+2*b4*c2+c6))|c*(b6*(a2-c2)+c2*Math.pow(-a2+c2,3)+b4*(-2*a4+3*c4)+b2*(a6+2*a2*c4-3*c6));X5-OF-TANGENTIAL-TRIANGLE
X157;a*(-(a3*cosA)+b3*cosB+c3*cosC)|b*(a3*cosA-b3*cosB+c3*cosC)|c*(a3*cosA+b3*cosB-c3*cosC);X6-OF-TANGENTIAL-TRIANGLE
X158;secA*secA|secB*secB|secC*secC;X19-CROSS CONJUGATE OF X92
X159;a*((a2+b2+c2)*sin2A+(-a2-b2+c2)*sin2B+(-a2+b2-c2)*sin2C)|b*((-a2-b2+c2)*sin2A+(a2+b2+c2)*sin2B+(a2-b2-c2)*sin2C)|c*((-a2+b2-c2)*sin2A+(a2-b2-c2)*sin2B+(a2+b2+c2)*sin2C);X9-OF-TANGENTIAL-TRIANGLE
X160;a*((b2+c2)*sin2A+(-a2+c2)*sin2B+(-a2+b2)*sin2C)|b*((-b2+c2)*sin2A+(a2+c2)*sin2B+(a2-b2)*sin2C)|c*((b2-c2)*sin2A+(a2-c2)*sin2B+(a2+b2)*sin2C);X37-OF-TANGENTIAL-TRIANGLE
X161;a*((a2+b2+c2)*sin2A*sin2A+(-a2-b2+c2)*sin2B*sin2B+(-a2+b2-c2)*sin2C*sin2C)|b*((-a2-b2+c2)*sin2A*sin2A+(a2+b2+c2)*sin2B*sin2B+(a2-b2-c2)*sin2C*sin2C)|c*((-a2+b2-c2)*sin2A*sin2A+(a2-b2-c2)*sin2B*sin2B+(a2+b2+c2)*sin2C*sin2C);X63-OF-TANGENTIAL-TRIANGLE
X162;1/((b2-c2)*(-a2+b2+c2))|1/((-a2+c2)*(a2-b2+c2))|1/((a2-b2)*(a2+b2-c2));CEVAPOINT OF X108 AND X109
X163;a2/(b2-c2)|b2/(-a2+c2)|c2/(a2-b2);TRILINEAR PRODUCT X6*X110
X164;-sinHalfA+sinHalfB+sinHalfC|sinHalfA-sinHalfB+sinHalfC|sinHalfA+sinHalfB-sinHalfC;INCENTER OF EXCENTRAL TRIANGLE
X165;3*a2-(b-c)*(b-c)-2*a*(b+c)|3*b2-(-a+c)*(-a+c)-2*b*(a+c)|-(a-b)*(a-b)-2*(a+b)*c+3*c2;CENTROID OF THE EXCENTRAL TRIANGLE
X166;tanHalfA/(-cosHalfA+cosHalfB+cosHalfC)-tanHalfB/(cosHalfA-cosHalfB+cosHalfC)-tanHalfC/(cosHalfA+cosHalfB-cosHalfC)|-(tanHalfA/(-cosHalfA+cosHalfB+cosHalfC))+tanHalfB/(cosHalfA-cosHalfB+cosHalfC)-tanHalfC/(cosHalfA+cosHalfB-cosHalfC)|-(tanHalfA/(-cosHalfA+cosHalfB+cosHalfC))-tanHalfB/(cosHalfA-cosHalfB+cosHalfC)+tanHalfC/(cosHalfA+cosHalfB-cosHalfC);GERGONNE POINT OF EXCENTRAL TRIANGLE
X167;-(((-cosHalfA+cosHalfB+cosHalfC)*sinHalfA)/cosHalfA)+((cosHalfA-cosHalfB+cosHalfC)*sinHalfB)/cosHalfB+((cosHalfA+cosHalfB-cosHalfC)*sinHalfC)/cosHalfC|((-cosHalfA+cosHalfB+cosHalfC)*sinHalfA)/cosHalfA-((cosHalfA-cosHalfB+cosHalfC)*sinHalfB)/cosHalfB+((cosHalfA+cosHalfB-cosHalfC)*sinHalfC)/cosHalfC|((-cosHalfA+cosHalfB+cosHalfC)*sinHalfA)/cosHalfA+((cosHalfA-cosHalfB+cosHalfC)*sinHalfB)/cosHalfB-((cosHalfA+cosHalfB-cosHalfC)*sinHalfC)/cosHalfC;NAGEL POINT OF EXCENTRAL TRIANGLE
X168;-(a/(1-sinHalfA))+b/(1-sinHalfB)+c/(1-sinHalfC)|a/(1-sinHalfA)-b/(1-sinHalfB)+c/(1-sinHalfC)|a/(1-sinHalfA)+b/(1-sinHalfB)-c/(1-sinHalfC);MITTENPUNKT OF EXCENTRAL TRIANGLE
X169;a3-a2*(b+c)-(b-c)*(b-c)*(b+c)+a*(b2+c2)|b3-b2*(a+c)-(-a+c)*(-a+c)*(a+c)+b*(a2+c2)|-((a-b)*(a-b)*(a+b))+(a2+b2)*c-(a+b)*c2+c3;X85-CEVA CONJUGATE OF X1
X170;-(tanHalfA/cosHalfA*cosHalfA)+tanHalfB/cosHalfB*cosHalfB+tanHalfC/cosHalfC*cosHalfC|tanHalfA/cosHalfA*cosHalfA-tanHalfB/cosHalfB*cosHalfB+tanHalfC/cosHalfC*cosHalfC|tanHalfA/cosHalfA*cosHalfA+tanHalfB/cosHalfB*cosHalfB-tanHalfC/cosHalfC*cosHalfC;X9-ALEPH CONJUGATE OF X9
X171;a2+b*c|b2+a*c|a*b+c2;{X2,X31}-HARMONIC CONJUGATE OF X238
X172;a3+a*b*c|b3+a*b*c|a*b*c+c3;TRILINEAR PRODUCT X6*X171
X173;-cosHalfA+cosHalfB+cosHalfC|cosHalfA-cosHalfB+cosHalfC|cosHalfA+cosHalfB-cosHalfC;CONGRUENT ISOSCELIZERS POINT
X174;1/cosHalfA|1/cosHalfB|1/cosHalfC;YFF CENTER OF CONGRUENCE
X175;-1+(cosHalfB*cosHalfC)/cosHalfA|-1+(cosHalfA*cosHalfC)/cosHalfB|-1+(cosHalfA*cosHalfB)/cosHalfC;ISOPERIMETRIC POINT
X176;1+(cosHalfB*cosHalfC)/cosHalfA|1+(cosHalfA*cosHalfC)/cosHalfB|1+(cosHalfA*cosHalfB)/cosHalfC;EQUAL DETOUR POINT
X177;(cosHalfB+cosHalfC)/cosHalfA|(cosHalfA+cosHalfC)/cosHalfB|(cosHalfA+cosHalfB)/cosHalfC;1st MID-ARC POINT
X178;(cosHalfB+cosHalfC)/a|(cosHalfA+cosHalfC)/b|(cosHalfA+cosHalfB)/c;2nd MID-ARC POINT
X179;Math.pow(cosQuarterA,-4)|Math.pow(cosQuarterB,-4)|Math.pow(cosQuarterC,-4);1st AJIMA-MALFATTI POINT
X180;1/(1+(2*cosQuarterA*cosQuarterA*cosQuarterB*cosQuarterB)/cosQuarterC*cosQuarterC)+1/(1+(2*cosQuarterA*cosQuarterA*cosQuarterC*cosQuarterC)/cosQuarterB*cosQuarterB)-1/(1+(2*cosQuarterB*cosQuarterB*cosQuarterC*cosQuarterC)/cosQuarterA*cosQuarterA)|1/(1+(2*cosQuarterA*cosQuarterA*cosQuarterB*cosQuarterB)/cosQuarterC*cosQuarterC)-1/(1+(2*cosQuarterA*cosQuarterA*cosQuarterC*cosQuarterC)/cosQuarterB*cosQuarterB)+1/(1+(2*cosQuarterB*cosQuarterB*cosQuarterC*cosQuarterC)/cosQuarterA*cosQuarterA)|-(1/(1+(2*cosQuarterA*cosQuarterA*cosQuarterB*cosQuarterB)/cosQuarterC*cosQuarterC))+1/(1+(2*cosQuarterA*cosQuarterA*cosQuarterC*cosQuarterC)/cosQuarterB*cosQuarterB)+1/(1+(2*cosQuarterB*cosQuarterB*cosQuarterC*cosQuarterC)/cosQuarterA*cosQuarterA);2nd AJIMA-MALFATTI POINT
X181;(a*(b+c)*(b+c))/(-a+b+c)|(b*(a+c)*(a+c))/(a-b+c)|((a+b)*(a+b)*c)/(a+b-c);APOLLONIUS POINT
X182;a*(a4-a2*b2-a2*c2-2*b2*c2)|b*(-(a2*b2)+b4-2*a2*c2-b2*c2)|c*(-2*a2*b2-a2*c2-b2*c2+c4);MIDPOINT OF BROCARD DIAMETER
X183;1/tanA+tanOmega|1/tanB+tanOmega|1/tanC+tanOmega;TRILINEAR PRODUCT X75X182
X184;a2*cosA|b2*cosB|c2*cosC;INVERSE OF X125 IN THE BROCARD CIRCLE
X185;cosA*(cosB*cosB+cosC*cosC)|cosB*(cosA*cosA+cosC*cosC)|(cosA*cosA+cosB*cosB)*cosC;NAGEL POINT OF THE ORTHIC TRIANGLE
X186;-(1/cosA)+4*cosA|-(1/cosB)+4*cosB|-(1/cosC)+4*cosC;INVERSE-IN-CIRCUMCIRCLE OF X4
X187;a*(2*a2-b2-c2)|b*(-a2+2*b2-c2)|c*(-a2-b2+2*c2);INVERSE-IN-CIRCUMCIRCLE OF X6 (SCHOUTE CENTER)
X188;1/sinHalfA|1/sinHalfB|1/sinHalfC;2nd MID-ARC POINT OF ANTICOMPLEMENTARY TRIANGLE
X189;(b*c)/(-1-cosA+cosB+cosC)|(a*c)/(-1+cosA-cosB+cosC)|(a*b)/(-1+cosA+cosB-cosC);CYCLOCEVIAN CONJUGATE OF X8
X190;(b*c)/(b-c)|(a*c)/(-a+c)|(a*b)/(a-b);YFF PARABOLIC POINT
X191;-a3+b3+(-a+b+c)*(a*b+a*c+b*c)+c3|a3-b3+(a-b+c)*(a*b+a*c+b*c)+c3|a3+b3+(a+b-c)*(a*b+a*c+b*c)-c3;X10-CEVA CONJUGATE OF X1
X192;b*c*(a*b+a*c-b*c)|a*c*(a*b-a*c+b*c)|a*b*(-(a*b)+a*c+b*c);X1-CEVA CONJUGATE OF X2
X193;3*a-(b2+c2)/a|3*b-(a2+c2)/b|-((a2+b2)/c)+3*c;X4-CEVA CONJUGATE OF X2
X194;b*c*(a2*b2+a2*c2-b2*c2)|a*c*(a2*b2-a2*c2+b2*c2)|a*b*(-(a2*b2)+a2*c2+b2*c2);X6-CEVA CONJUGATE OF X2
X195;a*(a8+b8-4*a6*(b2+c2)-2*b2*c2*(b4-b2*c2+c4)+a4*(6*b4+5*b2*c2+6*c4)-a2*(4*b6-b4*c2-b2*c4+4*c6)+c8)|b*(a8+b8-4*b6*(a2+c2)-2*a2*c2*(a4-a2*c2+c4)+b4*(6*a4+5*a2*c2+6*c4)-b2*(4*a6-a4*c2-a2*c4+4*c6)+c8)|c*(a8-2*a2*b2*(a4-a2*b2+b4)+b8-(4*a6-a4*b2-a2*b4+4*b6)*c2+(6*a4+5*a2*b2+6*b4)*c4-4*(a2+b2)*c6+c8);X5-CEVA CONJUGATE OF X3
X196;((-1-cosA+cosB+cosC)*tanHalfA)/cosA|((-1+cosA-cosB+cosC)*tanHalfB)/cosB|((-1+cosA+cosB-cosC)*tanHalfC)/cosC;X7-CEVA CONJUGATE OF X4
X197;a*(-(a2*tanHalfA)+b2*tanHalfB+c2*tanHalfC)|b*(a2*tanHalfA-b2*tanHalfB+c2*tanHalfC)|c*(a2*tanHalfA+b2*tanHalfB-c2*tanHalfC);X8-CEVA CONJUGATE OF X6
X198;a*(a3+a2*(b+c)-(b-c)*(b-c)*(b+c)-a*(b+c)*(b+c))|b*(b3+b2*(a+c)-(-a+c)*(-a+c)*(a+c)-b*(a+c)*(a+c))|c*(-((a-b)*(a-b)*(a+b))-(a+b)*(a+b)*c+(a+b)*c2+c3);X9-CEVA CONJUGATE OF X6
X199;a*(-a4+b4+(a*b+a*c+b*c)*(-a2+b2+c2)+c4)|b*(a4-b4+(a*b+a*c+b*c)*(a2-b2+c2)+c4)|c*(a4+b4+(a*b+a*c+b*c)*(a2+b2-c2)-c4);X10-CEVA CONJUGATE OF X6
X200;(-a+b+c)*(-a+b+c)|(a-b+c)*(a-b+c)|(a+b-c)*(a+b-c);X8-CEVA CONJUGATE OF X9
